Date,JKM,TTF
06/01/2020,6.130715436,4.055
05/29/2020,6.350496999,4.385
05/28/2020,6.224447411,3.51
05/27/2020,6.203706777,3.695
05/26/2020,6.527536881,4.125
05/22/2020,6.277984783,3.89
05/21/2020,6.530432595,3.825
05/20/2020,6.824694886,4.46
05/19/2020,6.922192988,4.61
05/18/2020,7.131204148,4.92
05/15/2020,6.642903691,5.22
05/14/2020,6.66546204,5.265
05/13/2020,6.673844336,5.12
05/12/2020,6.655384505,5.315
05/11/2020,6.443140235,5.705
05/08/2020,6.391446167,5.83
05/07/2020,6.38041248,5.845
05/06/2020,6.387064992,5.765
05/05/2020,6.361134852,5.675
05/04/2020,6.258883703,5.74
05/01/2020,6.215003703,5.845
04/30/2020,6.246465918,6.22
04/29/2020,6.277879671,6.015
04/28/2020,6.309797159,6.145
04/27/2020,6.288209937,5.94
04/24/2020,6.387488723,5.77
04/23/2020,6.492749657,6.055
04/22/2020,6.543994883,6.225
04/21/2020,6.617815348,6.315
04/20/2020,7.132609347,6.62
04/17/2020,7.358783532,6.995
04/16/2020,7.780372985,6.905
04/15/2020,8.745988032,6.65
04/14/2020,8.704175237,6.875
04/13/2020,8.772453807,7.28
04/09/2020,8.761214276,7.28
04/08/2020,8.834233314,7.26
04/07/2020,8.791788814,7.285
04/06/2020,9.013958352,7.285
04/03/2020,8.983991128,6.92
04/02/2020,8.991426078,6.935
04/01/2020,8.93561562,6.825
03/31/2020,8.896805412,6.9
03/30/2020,8.898561955,6.895
03/27/2020,9.114527485,7.22
03/26/2020,9.207094321,7.575
03/25/2020,9.269599478,7.745
03/24/2020,9.966490444,7.91
03/23/2020,10.34618988,7.85
03/20/2020,10.94677823,8.295
03/19/2020,10.85509407,8.545
03/18/2020,10.63327734,8.265
03/17/2020,10.72372579,8.47
03/16/2020,10.3936682,8.74
03/13/2020,9.650358892,9.285
03/12/2020,9.583048868,9.325
03/11/2020,9.481311668,9.37
03/10/2020,9.425835019,8.995
03/09/2020,9.242775206,8.625
03/06/2020,9.420823498,8.645
03/05/2020,9.368280309,8.85
03/04/2020,9.425974983,8.91
03/03/2020,9.394754763,9.17
03/02/2020,9.351020764,8.885
02/28/2020,9.163164697,8.875
02/27/2020,9.232209145,8.87
02/26/2020,9.427311974,9.07
02/25/2020,9.097905066,9.005
02/24/2020,9.04191549,9.045
02/21/2020,9.427135482,9.41
02/20/2020,9.416288248,9.565
02/19/2020,9.461165312,9.57
02/18/2020,9.409307402,9.38
02/14/2020,11.09293802,8.88
02/13/2020,11.09844716,8.89
02/12/2020,11.06679857,8.72
02/11/2020,11.02319656,8.555
02/10/2020,11.01260599,8.645
02/07/2020,11.13433276,9.07
02/06/2020,11.05018743,9.15
02/05/2020,11.17276477,9.315
02/04/2020,11.43632163,9.365
02/03/2020,11.512367,9.21
01/31/2020,12.36828317,9.755
01/30/2020,11.99025927,9.78
01/29/2020,12.09063512,10.15
01/28/2020,12.38827326,10.79
01/27/2020,12.39277154,10.525
01/24/2020,12.38490169,10.455
01/23/2020,12.35240421,10.43
01/22/2020,12.3705135,10.455
01/21/2020,12.5499457,10.775
01/17/2020,12.71244872,10.93
01/16/2020,12.81204455,11.115
01/15/2020,16.20923164,11.18
01/14/2020,16.25661652,11.305
01/13/2020,16.24785521,12.055
01/10/2020,16.26685,11.94
01/09/2020,16.28882233,12.18
01/08/2020,16.32249563,11.965
01/07/2020,16.22162784,11.93
01/06/2020,16.20649669,12.28
01/03/2020,16.47144613,12.985
01/02/2020,16.04126118,12.075
12/31/2019,16.13625085,12.05
12/30/2019,16.00257992,12.295
12/27/2019,15.9577311,12.765
12/26/2019,16.14824147,12.605
12/24/2019,16.17674175,12.605
12/23/2019,16.31673931,13.025
12/20/2019,16.79065047,14.235
12/19/2019,16.95742382,15.005
12/18/2019,17.04795205,14.95
12/17/2019,16.91331536,14.46
12/16/2019,16.51041504,13.89
12/13/2019,17.32728807,13.805
12/12/2019,17.29793921,14.77
12/11/2019,17.26726911,14.045
12/10/2019,17.32331145,14.53
12/09/2019,17.30858586,14.89
12/06/2019,17.33184636,15.14
12/05/2019,17.32307864,15.415
12/04/2019,17.36374315,15.88
12/03/2019,17.35590823,15.77
12/02/2019,17.254336,15.81
11/29/2019,17.4444095,16.33
11/27/2019,17.76618399,15.98
11/26/2019,17.90430428,15.85
11/25/2019,18.12936557,16.235
11/22/2019,18.34680004,16.05
11/21/2019,18.16525661,15.625
11/20/2019,18.34101087,15.59
11/19/2019,18.19243872,15.29
11/18/2019,18.34432451,15.23
11/15/2019,18.77905271,15.715
11/14/2019,18.82846678,15.67
11/13/2019,18.85412797,15.45
11/12/2019,18.66637148,15.545
11/11/2019,18.80969293,15.845
11/08/2019,19.00741336,15.94
11/07/2019,18.82708642,16.12
11/06/2019,18.98493081,16.28
11/05/2019,19.15441945,16.79
11/04/2019,19.32563948,16.48
11/01/2019,19.33455505,16.175
10/31/2019,19.10038415,16.135
10/30/2019,18.84358265,13.78
10/29/2019,19.35347118,13.835
10/28/2019,19.45128016,14.39
10/25/2019,19.84069524,15.235
10/24/2019,20.19381141,15.655
10/23/2019,20.28645144,15.415
10/22/2019,20.6484028,15.595
10/21/2019,20.98663835,15.61
10/18/2019,21.16108182,15.965
10/17/2019,21.60340204,16.025
10/16/2019,21.55072745,16.075
10/15/2019,18.02243321,16.065
10/14/2019,18.02733594,16.04
10/11/2019,17.99228372,16.135
10/10/2019,18.05114615,15.85
10/09/2019,18.03095724,15.575
10/08/2019,18.07122681,15.64
10/07/2019,17.88931028,15.505
10/04/2019,17.80179405,15.77
10/03/2019,17.89910013,16.01
10/02/2019,17.76874408,16.005
10/01/2019,17.98600464,16.76
09/30/2019,17.81959554,16.39
09/27/2019,17.9416469,11.94
09/26/2019,17.82894402,12.045
09/25/2019,17.46881271,11.95
09/24/2019,17.62551754,12.34
09/23/2019,17.85513,12.245
09/20/2019,18.57198044,12.71
09/19/2019,18.00774101,12.255
09/18/2019,18.24231927,12.435
09/17/2019,18.91298578,13.44
09/16/2019,20.27614024,15.335
09/13/2019,14.13209082,14.71
09/12/2019,14.1011388,14.465
09/11/2019,14.16774423,14.355
09/10/2019,13.98504574,14.405
09/09/2019,13.91945195,12.235
09/06/2019,13.8505827,12.35
09/05/2019,13.84305043,12.235
09/04/2019,13.76571496,11.96
09/03/2019,14.18441481,12.1
08/30/2019,14.50411007,12.795
08/29/2019,14.3557731,10.715
08/28/2019,14.09617629,10.235
08/27/2019,14.03348957,10.07
08/26/2019,14.05159426,10.315
08/23/2019,13.99611416,10.585
08/22/2019,14.14111664,10.99
08/21/2019,14.45808065,11.415
08/20/2019,14.45261342,11.215
08/19/2019,14.42099697,10.785
08/16/2019,14.54259163,10.955
08/15/2019,13.27573141,11.225
08/14/2019,13.23758961,11.18
08/13/2019,13.1855694,11.86
08/12/2019,13.13500041,11.42
08/09/2019,13.15142209,12.025
08/08/2019,13.17495299,12.075
08/07/2019,13.15259664,11.41
08/06/2019,13.12094371,10.95
08/05/2019,13.11625849,11.465
08/02/2019,13.13625973,12.015
08/01/2019,13.21089797,12.36
07/31/2019,13.17540517,11
07/30/2019,13.09738055,9.79
07/29/2019,13.24577544,9.81
07/26/2019,13.4371285,9.965
07/25/2019,13.61206681,10.025
07/24/2019,13.63471884,10.075
07/23/2019,13.84959735,10.75
07/22/2019,13.80961429,10.16
07/19/2019,14.34237983,10.815
07/18/2019,14.19674141,10.735
07/17/2019,14.4753932,10.99
07/16/2019,15.01109695,11.415
07/15/2019,13.79498111,12.895
07/12/2019,13.7651481,13.28
07/11/2019,13.72528085,13.13
07/10/2019,13.69860104,12.135
07/09/2019,13.76639404,11.76
07/08/2019,13.72613828,11.88
